Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
26K5G5FY,journalArticle,2019,"Matos, Cátia; Petrovan, Silviu O.; Wheeler, Philip M.; Ward, Alastair I.",Landscape connectivity and spatial prioritization in an urbanising world: A network analysis approach for a threatened amphibian,Biological Conservation,,63207,10.1016/j.biocon.2019.06.035,https://linkinghub.elsevier.com/retrieve/pii/S000632071831680X,,2019-09,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,238-247,,,237,,Biol. Conserv.,Landscape connectivity and spatial prioritization in an urbanising world,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Matos_etal_2019_Biol. Conserv..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7V6WFSNU,journalArticle,2014,"Serret, Hortense; Raymond, Richard; Foltête, Jean-Christophe; Clergeau, Philippe; Simon, Laurent; Machon, Nathalie","Potential contributions of green spaces at business sites to the ecological network in an urban agglomeration: The case of the Ile-de-France region, France",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2014.07.003,https://linkinghub.elsevier.com/retrieve/pii/S0169204614001583,,2014-11,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,27-35,,,131,,Landscape Urban Plan.,Potential contributions of green spaces at business sites to the ecological network in an urban agglomeration,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Serret_etal_2014_Landscape Urban Plan..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PX28X9K,journalArticle,2017,"Martín-Queller, Emi; Albert, Cécile H.; Dumas, Pierre-Jean; Saatkamp, Arne","Islands, mainland, and terrestrial fragments: How isolation shapes plant diversity",Ecology and Evolution,,20457758,10.1002/ece3.3150,https://onlinelibrary.wiley.com/doi/10.1002/ece3.3150,,2017-09,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,6904-6917,,17,7,,Ecol. Evol.,"Islands, mainland, and terrestrial fragments",,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Martin-Queller_etal_2017_Ecol. Evol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3SBWNC8,journalArticle,2017,"Qi, Ke; Fan, Zhengqiu; Ng, Cho Nam; Wang, Xiangrong; Xie, Yujing","Functional analysis of landscape connectivity at the landscape, component, and patch levels: A case study of Minqing County, Fuzhou City, China",Applied Geography,,1436228,10.1016/j.apgeog.2017.01.009,https://linkinghub.elsevier.com/retrieve/pii/S0143622817301091,,2017-03,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,64-77,,,80,,Appl. Geogr.,"Functional analysis of landscape connectivity at the landscape, component, and patch levels",,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Qi_etal_2017_Appl. Geogr..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8TLYV68,journalArticle,2023,"Rahimi, Ehsan; Barghjelveh, Shahindokht; Dong, Pinliang",Estimating the pollination supply of urban green spaces to determine suitable areas for urban agriculture in the city of Tehran,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-022-01289-6,https://link.springer.com/10.1007/s11252-022-01289-6,,2023-02,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,19-30,,1,26,,Urban Ecosyst.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Rahimi_etal_2023_Urban Ecosyst..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF3JFY7Y,journalArticle,2023,"Niu, Hongyu; Rehling, Finn; Chen, Zhiwen; Yue, Xingcheng; Zhao, Hengyue; Wang, Xiaorong; Zhang, Hongmao; Schabo, Dana G.; Farwig, Nina","Regeneration of urban forests as influenced by fragmentation, seed dispersal mode and the legacy effect of reforestation interventions",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2023.104712,https://linkinghub.elsevier.com/retrieve/pii/S0169204623000312,,2023-05,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,104712,,,233,,Landscape Urban Plan.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Niu_etal_2023_Landscape Urban Plan..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VG4SXYXJ,journalArticle,2015,"Kang, Wanmo; Minor, Emily S.; Park, Chan-Ryul; Lee, Dowon","Effects of habitat structure, human disturbance, and habitat connectivity on urban forest bird communities",Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-014-0433-5,http://link.springer.com/10.1007/s11252-014-0433-5,"As urbanization accelerates, urban biodiversity conservation is becoming a great concern for the maintenance of urban ecosystem functions. In particular, forest bird communities in urban areas have been recognized as a conservation target because of their functions in food webs and ecosystem services. But our understanding of which local- and landscape-scale factors influence native bird communities within urban green spaces is still insufficient to provide managers with information for effectively planning biodiversity management programs. Here we examine how local habitat characteristics, human disturbance, and habitat connectivity influence the diversity of forest bird communities in 44 small forest patches (0.5–20.0 ha) embedded in an urbanized landscape. Patch size exerted a positive influence on the diversity of most bird functional groups, and it had the greatest effects on total abundance and species richness. The second most important factor was human disturbance. Remnant patches with lower levels of human disturbance had higher diversity than newly established patches where intense human activities occurred more frequently. In addition, vegetation complexity and habitat connectivity were positively related to total species richness and abundance, respectively, but they were less important. Management strategies for the conservation of urban forest birds, therefore, should consider not only local improvements in habitat structure – through increased patch size, reduced human disturbance, and increased vegetation complexity – but also the maintenance of habitat connectivity.",2015-09,07-06-2022 23:11,11-05-2023 22:12,02-05-2023 20:04,857-870,,3,18,,Urban Ecosyst.,,,,,,,,en,,,,,DOI.org (Crossref),,76 citations (Crossref) [2022-09-28],,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Kang_etal_2015_Urban Ecosyst..pdf,,YES,BENCHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYQMYV9B,journalArticle,2021,"Bhakti, Tulaci; Pena, João Carlos; Niebuhr, Bernardo Brandão; Sampaio, Juliana; Goulart, Fernando Figueiredo; Azevedo, Cristiano Schetini De; Ribeiro, Milton Cezar; Antonini, Yasmine","Combining land cover, animal behavior, and master plan regulations to assess landscape permeability for birds",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2021.104171,https://linkinghub.elsevier.com/retrieve/pii/S0169204621001341,,2021-10,13-06-2022 19:45,11-05-2023 22:02,02-05-2023 20:04,104171,,,214,,Landscape Urban Plan.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Bhakti_etal_2021_Landscape Urban Plan..pdf,,YES,Urban planning; Urban ecology; Understory birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGDNGT6C,journalArticle,2015,"Lampinen, Jussi; Ruokolainen, Kalle; Huhta, Ari-Pekka",Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,PLOS ONE,,1932-6203,10.1371/journal.pone.0142236,https://dx.plos.org/10.1371/journal.pone.0142236,,13-11-2015,02-05-2023 20:04,10-05-2023 16:37,02-05-2023 20:04,e0142236,,11,10,,PLOS One,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Lampinen_etal_2015_PLOS One.pdf,,YES,,"Chapman, Maura (Gee) Geraldine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I44HFE73,journalArticle,2014,"Bergsten, Arvid; Galafassi, Diego; Bodin, Örjan",The problem of spatial fit in social-ecological systems: detecting mismatches between ecological connectivity and land management in an urban region,Ecology and Society,,1708-3087,10.5751/ES-06931-190406,http://www.ecologyandsociety.org/vol19/iss4/art6/,,2014,02-05-2023 20:04,10-05-2023 16:35,02-05-2023 20:04,art6,,4,19,,Ecol. Soc.,The problem of spatial fit in social-ecological systems,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Bergsten_etal_2014_Ecol. Soc..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMMTBV9W,journalArticle,2020,"Freitas, Érica Vanessa Durães; Das Dores Magalhães Veloso, Maria; De Araújo, Walter Santos","Urbanization alters the composition, but not the diversity and structure, of Neotropical savanna woody plant communities",Folia Geobotanica,,"1211-9520, 1874-9348",10.1007/s12224-020-09366-4,https://link.springer.com/10.1007/s12224-020-09366-4,,2020-06,02-05-2023 20:04,10-05-2023 16:36,02-05-2023 20:04,95-108,,2,55,,Folia Geobot.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Freitas_etal_2020_Folia Geobot..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRUHSJ4U,journalArticle,2019,"Hurtado, Gizelle; Mabry, Karen E.",Genetic structure of an abundant small mammal is influenced by low intensity urbanization,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-019-01163-7,http://link.springer.com/10.1007/s10592-019-01163-7,,2019-08,02-05-2023 20:04,10-05-2023 16:36,02-05-2023 20:04,705-715,,4,20,,Conserv. Genet.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Hurtado_Mabry_2019_Conserv. Genet..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Z7GXIPR,journalArticle,2020,"Wilk, Andrew J.; Donlon, Kate C.; Peterman, William E.",Effects of habitat fragment size and isolation on the density and genetics of urban red-backed salamanders (Plethodon cinereus),Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-020-00958-8,http://link.springer.com/10.1007/s11252-020-00958-8,,2020-08,02-05-2023 20:04,10-05-2023 16:39,02-05-2023 20:04,761-773,,4,23,,Urban Ecosyst.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Wilk_etal_2020_Urban Ecosyst..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMRIBXA5,journalArticle,2014,"Wodkiewicz, Maciej; Gruszczyńska, Bożenna",Genetic Diversity and Spatial Genetic Structure of Stellaria Holostea Populations from Urban Forest Islands,Acta Biologica Cracoviensia s. Botanica,,1898-0295,10.2478/abcsb-2014-0004,http://journals.pan.pl/dlibra/publication/94793/edition/81814/content,Abstract                            Stellaria holostea               is a clonal herb highly confined to well-established deciduous forests. This study examined whether its genetic diversity and spatial genetic organization in urban forest islands is similar to the values from well-established populations outside urban landscape. We studied four populations in Warsaw and two populations from well preserved forests outside the city. Genetic diversity was greater in populations from well-preserved forests than from forests heavily exploited in the past. High clonal diversity indices indicate that the studied populations did not lose the ability to reproduce sexually. The small populations in urban forests differed from the remaining sites in spatial organization. High overall F               ST               (0.24) and the lack of correlation between genetic and geographic distance between the studied populations indicate limited gene flow. Urban forests may be of great value for conservation of               S. holostea               and other ancient forest species as they may still harbor substantial genetic variability despite their isolation.,12-09-2014,02-05-2023 20:04,10-05-2023 16:39,02-05-2023 20:04,42-53,,1,56,,"Acta Biol. Crac. s, Bot.",,,,,,,,,,,,,DOI.org (Crossref),,,,"C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Wodkiewicz_Gruszczynska_2014_Acta Biol. Crac. s, Bot..pdf",,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXJBSDSH,journalArticle,2012,"Van Rossum, Fabienne; Triest, Ludwig",Stepping-stone populations in linear landscape elements increase pollen dispersal between urban forest fragments,Plant Ecology and Evolution,,20323921,10.5091/plecevo.2012.737,https://www.ingentaconnect.com/contentone/botbel/plecevo/2012/00000145/00000003/art00005,,31-10-2012,02-05-2023 20:04,10-05-2023 16:39,02-05-2023 20:04,332-340,,3,145,,Plant Ecol. Evol.,,,,,,,,,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Van Rossum_Triest_2012_Plant Ecol. Evol..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKEXFI83,journalArticle,2007,"Mörtberg, U.M.; Balfors, B.; Knol, W.C.",Landscape ecological assessment: A tool for integrating biodiversity issues in strategic environmental assessment and planning,Journal of Environmental Management,,3014797,10.1016/j.jenvman.2006.01.005,https://linkinghub.elsevier.com/retrieve/pii/S0301479706000399,,2007-03,02-05-2023 20:04,10-05-2023 16:38,02-05-2023 20:04,457-470,,4,82,,J. Environ. Manage.,Landscape ecological assessment,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\YES\Mortberg_etal_2007_J. Environ. Manage..pdf,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
