doi,updated,url,url_for_pdf,url_for_landing_page,evidence,license,version,host_type,is_best,pmh_id,endpoint_id,repository_institution,oa_date,data_standard,is_oa,is_paratext,genre,oa_status,has_repository_copy,journal_is_oa,journal_is_in_doaj,journal_issns,journal_issn_l,journal_name,publisher,published_date,year,title,updated_resource,decision
10.1111/cobi.12943,2022-10-13T01:14:23.620317,https://hal.archives-ouvertes.fr/hal-01681596/file/16-671albert_v2%20HAL.pdf,https://hal.archives-ouvertes.fr/hal-01681596/file/16-671albert_v2%20HAL.pdf,https://hal.archives-ouvertes.fr/hal-01681596/file/16-671albert_v2%20HAL.pdf,oa repository (via OAI-PMH doi match),NA,submittedVersion,repository,TRUE,oai:HAL:hal-01681596v1,c857046970ca96381cf,Le Centre pour la Communication Scientifique Directe - HAL - Diderot,2021-11-03,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0888-8892,0888-8892,Conservation Biology,Wiley,2017-07-31,2017,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,2023-02-15T10:53:11.237795,YES
10.1111/cobi.12943,2023-02-15T10:45:52.324600,https://hal.science/hal-01681596/file/16-671albert_v2%20HAL.pdf,https://hal.science/hal-01681596/file/16-671albert_v2%20HAL.pdf,https://hal.science/hal-01681596/file/16-671albert_v2%20HAL.pdf,oa repository (via OAI-PMH doi match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-01681596v1,b9bb6f966cfb6627303,Le Centre pour la Communication Scientifique Directe - HAL - Aix-Marseille Université,2020-11-17,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0888-8892,0888-8892,Conservation Biology,Wiley,2017-07-31,2017,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,2023-02-15T10:53:11.237795,YES
10.1111/cobi.12943,2021-09-02T03:57:45.372647,https://hal.archives-ouvertes.fr/hal-01681596/document,https://hal.archives-ouvertes.fr/hal-01681596/document,https://hal.archives-ouvertes.fr/hal-01681596,oa repository (via OAI-PMH doi match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-01681596v1,b7862ef9ea7817152e1,Le Centre pour la Communication Scientifique Directe - HAL - Université Paris Descartes,2020-11-17,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0888-8892,0888-8892,Conservation Biology,Wiley,2017-07-31,2017,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,2023-02-15T10:53:11.237795,YES
10.1111/cobi.12943,2023-02-15T10:39:05.523137,https://hal.science/hal-01681596/document,https://hal.science/hal-01681596/document,https://hal.science/hal-01681596/document,oa repository (via OAI-PMH doi match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-01681596v1,b9bb6f966cfb6627303,Le Centre pour la Communication Scientifique Directe - HAL - Aix-Marseille Université,2020-11-17,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0888-8892,0888-8892,Conservation Biology,Wiley,2017-07-31,2017,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,2023-02-15T10:53:11.237795,YES
10.1007/s10530-017-1583-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1387-3547,1573-1464",1387-3547,Biological Invasions,Springer Science and Business Media LLC,2017-10-23,2017,Urban riparian systems function as corridors for both native and invasive plant species,2021-01-15T22:58:12.247419,YES
10.1016/j.landurbplan.2016.12.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0169-2046,0169-2046,Landscape and Urban Planning,Elsevier BV,2017-04-01,2017,"Prediction of genetic connectivity in urban ecosystems by combining detailed movement data, genetic data and multi-path modelling",2021-01-18T14:35:44.110672,YES
10.3390/su14127113,2023-03-23T20:40:26.595285,https://www.mdpi.com/2071-1050/14/12/7113/pdf?version=1654836086,https://www.mdpi.com/2071-1050/14/12/7113/pdf?version=1654836086,https://doi.org/10.3390/su14127113,oa journal (via doaj),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2022-06-10,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2071-1050,2071-1050,Sustainability,MDPI AG,2022-06-10,2022,Powerline Corridors Can Add Ecological Value to Suburban Landscapes When Not Maintained as Lawn,2022-06-14T21:07:50.437009,YES
10.1111/gcb.12884,2022-02-12T21:24:29.584626,https://europepmc.org/articles/pmc4975606?pdf=render,https://europepmc.org/articles/pmc4975606?pdf=render,https://europepmc.org/articles/pmc4975606,oa repository (via OAI-PMH doi match),cc-by,publishedVersion,repository,TRUE,oai:europepmc.org:a6ei2y2fvxGbakNpDd4Z,b5e840539009389b1a6,PubMed Central - Europe PMC,NA,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,1354-1013,1354-1013,Global Change Biology,Wiley,2015-03-06,2015,The ecological impact of city lighting scenarios: exploring gap crossing thresholds for urban bats,2023-03-20T21:34:34.090321,YES
10.1111/gcb.12884,2023-03-03T01:44:15.263153,http://pure-oai.bham.ac.uk/ws/files/18408785/Hale_et_al_2015_Global_Change_Biology.pdf,http://pure-oai.bham.ac.uk/ws/files/18408785/Hale_et_al_2015_Global_Change_Biology.pdf,http://pure-oai.bham.ac.uk/ws/files/18408785/Hale_et_al_2015_Global_Change_Biology.pdf,oa repository (via OAI-PMH doi match),cc-by,publishedVersion,repository,FALSE,oai:pure.atira.dk:publications/fe32119d-070d-4385-8bf6-ff9206cec7ae,urcddc3hurunl2pshtmn,University of Birmingham - University of Birmingham Research Portal,2021-02-01,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,1354-1013,1354-1013,Global Change Biology,Wiley,2015-03-06,2015,The ecological impact of city lighting scenarios: exploring gap crossing thresholds for urban bats,2023-03-20T21:34:34.090321,YES
10.1111/gcb.12884,2023-03-03T01:45:51.654076,https://birmingham.elsevierpure.com/files/18408785/Hale_et_al_2015_Global_Change_Biology.pdf,https://birmingham.elsevierpure.com/files/18408785/Hale_et_al_2015_Global_Change_Biology.pdf,https://birmingham.elsevierpure.com/en/publications/fe32119d-070d-4385-8bf6-ff9206cec7ae,oa repository (via OAI-PMH doi match),cc-by,publishedVersion,repository,FALSE,oai:pure.atira.dk:publications/fe32119d-070d-4385-8bf6-ff9206cec7ae,urcddc3hurunl2pshtmn,University of Birmingham - University of Birmingham Research Portal,2021-02-01,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,1354-1013,1354-1013,Global Change Biology,Wiley,2015-03-06,2015,The ecological impact of city lighting scenarios: exploring gap crossing thresholds for urban bats,2023-03-20T21:34:34.090321,YES
10.1111/gcb.12884,2023-03-23T20:40:26.809149,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4975606,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4975606,oa repository (via pmcid lookup),NA,publishedVersion,repository,FALSE,NA,NA,NA,NA,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,1354-1013,1354-1013,Global Change Biology,Wiley,2015-03-06,2015,The ecological impact of city lighting scenarios: exploring gap crossing thresholds for urban bats,2023-03-20T21:34:34.090321,YES
10.1371/journal.pone.0142236,2023-03-23T20:40:27.060427,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0142236&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0142236&type=printable,https://doi.org/10.1371/journal.pone.0142236,oa journal (via doaj),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2015-11-13,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-11-13,2015,Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,2023-03-19T20:34:12.035614,YES
10.1371/journal.pone.0142236,2022-09-13T11:31:51.487081,https://europepmc.org/articles/pmc4643934?pdf=render,https://europepmc.org/articles/pmc4643934?pdf=render,https://europepmc.org/articles/pmc4643934,oa repository (via OAI-PMH doi match),cc-by,publishedVersion,repository,FALSE,oai:europepmc.org:SUScPuZo54j6HwEHr9zc,b5e840539009389b1a6,PubMed Central - Europe PMC,NA,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-11-13,2015,Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,2023-03-19T20:34:12.035614,YES
10.1371/journal.pone.0142236,2022-10-30T22:53:04.107452,https://www.utupub.fi/bitstream/10024/157459/1/Lampinen_et_al._2015.pdf,https://www.utupub.fi/bitstream/10024/157459/1/Lampinen_et_al._2015.pdf,https://www.utupub.fi/handle/10024/157459,oa repository (via OAI-PMH doi match),cc-by,publishedVersion,repository,FALSE,oai:www.utupub.fi:10024/157459,iptde7qefybema6wqbcg,University of Turku - UTUPub,2022-10-27,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-11-13,2015,Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,2023-03-19T20:34:12.035614,YES
10.1371/journal.pone.0142236,2023-03-23T20:40:27.060574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643934,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643934,oa repository (via pmcid lookup),NA,publishedVersion,repository,FALSE,NA,NA,NA,NA,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-11-13,2015,Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,2023-03-19T20:34:12.035614,YES
10.1371/journal.pone.0142236,2019-10-01T00:00:00,http://pdfs.semanticscholar.org/9c67/1b9b7b9e8c8fdc4adfccea89f509fd7b0131.pdf,http://pdfs.semanticscholar.org/9c67/1b9b7b9e8c8fdc4adfccea89f509fd7b0131.pdf,https://semanticscholar.org/paper/9c671b9b7b9e8c8fdc4adfccea89f509fd7b0131,oa repository (semantic scholar lookup),NA,submittedVersion,repository,FALSE,NA,trmgzrn8eq4yx7ddvmzs,NA,NA,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-11-13,2015,Urban Power Line Corridors as Novel Habitats for Grassland and Alien Plant Species in South-Western Finland,2023-03-19T20:34:12.035614,YES
10.1101/579227,2021-01-04T14:53:20.852989,https://www.biorxiv.org/content/biorxiv/early/2019/03/16/579227.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2019/03/16/579227.full.pdf,https://doi.org/10.1101/579227,oa repository (via page says license),cc-by-nc-nd,submittedVersion,repository,TRUE,NA,NA,NA,2019-03-16,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2019-03-16,2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",2023-02-14T23:09:06.033383,YES
10.1101/579227,2022-08-10T12:25:40.238873,https://hal.archives-ouvertes.fr/hal-03102973/file/Mimet_2020.pdf,https://hal.archives-ouvertes.fr/hal-03102973/file/Mimet_2020.pdf,https://hal.archives-ouvertes.fr/hal-03102973/file/Mimet_2020.pdf,oa repository (via OAI-PMH title and first author match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-03102973v1,c857046970ca96381cf,Le Centre pour la Communication Scientifique Directe - HAL - Diderot,2021-01-13,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2019-03-16,2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",2023-02-14T23:09:06.033383,YES
10.1101/579227,2023-02-13T18:55:51.253168,https://hal.science/hal-03102973/file/Mimet_2020.pdf,https://hal.science/hal-03102973/file/Mimet_2020.pdf,https://hal.science/hal-03102973/file/Mimet_2020.pdf,oa repository (via OAI-PMH title and first author match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-03102973v1,ae993348da64c568ccb,Le Centre pour la Communication Scientifique Directe - HAL - Université Paris 1 Panthéon-Sorbonne,2021-06-24,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2019-03-16,2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",2023-02-14T23:09:06.033383,YES
10.1101/579227,2022-08-10T12:35:52.979730,https://hal.archives-ouvertes.fr/hal-03102973/document,https://hal.archives-ouvertes.fr/hal-03102973/document,https://hal.archives-ouvertes.fr/hal-03102973,oa repository (via OAI-PMH title and first author match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-03102973v1,c857046970ca96381cf,Le Centre pour la Communication Scientifique Directe - HAL - Diderot,2021-01-13,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2019-03-16,2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",2023-02-14T23:09:06.033383,YES
10.1101/579227,2023-02-23T11:18:40.600708,https://hal.science/hal-03102973/document,https://hal.science/hal-03102973/document,https://hal.science/hal-03102973,oa repository (via OAI-PMH title and first author match),NA,submittedVersion,repository,FALSE,oai:HAL:hal-03102973v1,cd9aa2564356f320906,Le Centre pour la Communication Scientifique Directe - HAL - Inserm,2021-01-13,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2019-03-16,2019,"Contribution of private gardens to habitat availability, connectivity and conservation of the common pipistrelle in Paris",2023-02-14T23:09:06.033383,YES
10.1093/jue/juy007,2023-03-23T20:40:27.936127,https://academic.oup.com/jue/article-pdf/4/1/juy007/24541741/juy007.pdf,https://academic.oup.com/jue/article-pdf/4/1/juy007/24541741/juy007.pdf,https://doi.org/10.1093/jue/juy007,oa journal (via doaj),cc-by-nc,publishedVersion,publisher,TRUE,NA,NA,NA,2018-01-01,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2058-5543,2058-5543,Journal of Urban Ecology,Oxford University Press (OUP),2018-01-01,2018,Urban forests form isolated archipelagos,2021-06-26T01:39:30.254499,YES
10.1007/s10980-020-00981-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0921-2973,1572-9761",0921-2973,Landscape Ecology,Springer Science and Business Media LLC,2020-02-24,2020,A multispecies approach for assessing landscape connectivity in data-poor regions,2021-01-19T07:21:18.678614,YES
10.1016/j.jenvman.2020.111425,2022-05-23T10:10:22.429809,https://hal.archives-ouvertes.fr/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,https://hal.archives-ouvertes.fr/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,https://hal.archives-ouvertes.fr/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,oa repository (via OAI-PMH doi match),NA,publishedVersion,repository,TRUE,oai:HAL:hal-02956444v1,2cb0529f001d4fe2c95,Le Centre pour la Communication Scientifique Directe - HAL - Inria,2022-01-07,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0301-4797,0301-4797,Journal of Environmental Management,Elsevier BV,2021-01-01,2021,Pooling biodiversity offsets to improve habitat connectivity and species conservation,2023-03-23T17:06:21.073524,YES
10.1016/j.jenvman.2020.111425,2023-03-23T03:11:09.799268,https://hal.science/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,https://hal.science/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,https://hal.science/hal-02956444/file/Tarabon-et-al-2021-cleaned.pdf,oa repository (via OAI-PMH doi match),NA,publishedVersion,repository,FALSE,oai:HAL:hal-02956444v1,0bef5a4743b644a14cc,Le Centre pour la Communication Scientifique Directe - HAL - IRD - Institut de recherche pour le développement,2022-01-07,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0301-4797,0301-4797,Journal of Environmental Management,Elsevier BV,2021-01-01,2021,Pooling biodiversity offsets to improve habitat connectivity and species conservation,2023-03-23T17:06:21.073524,YES
10.1016/j.jenvman.2020.111425,2022-08-01T17:46:57.304049,https://hal.archives-ouvertes.fr/hal-02956444/document,https://hal.archives-ouvertes.fr/hal-02956444/document,https://hal.archives-ouvertes.fr/hal-02956444,oa repository (via OAI-PMH doi match),NA,publishedVersion,repository,FALSE,oai:HAL:hal-02956444v1,2cb0529f001d4fe2c95,Le Centre pour la Communication Scientifique Directe - HAL - Inria,2022-01-07,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0301-4797,0301-4797,Journal of Environmental Management,Elsevier BV,2021-01-01,2021,Pooling biodiversity offsets to improve habitat connectivity and species conservation,2023-03-23T17:06:21.073524,YES
10.1016/j.jenvman.2020.111425,2023-02-13T11:16:54.490552,https://hal.science/hal-02956444/document,https://hal.science/hal-02956444/document,https://hal.science/hal-02956444,oa repository (via OAI-PMH doi match),NA,publishedVersion,repository,FALSE,oai:HAL:hal-02956444v1,a231b23e780f378785a,Le Centre pour la Communication Scientifique Directe - HAL - Université Francois Rabelais - Tours,2022-01-06,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,0301-4797,0301-4797,Journal of Environmental Management,Elsevier BV,2021-01-01,2021,Pooling biodiversity offsets to improve habitat connectivity and species conservation,2023-03-23T17:06:21.073524,YES
10.3389/fevo.2019.00299,2023-03-23T20:40:29.065624,https://www.frontiersin.org/articles/10.3389/fevo.2019.00299/pdf,https://www.frontiersin.org/articles/10.3389/fevo.2019.00299/pdf,https://doi.org/10.3389/fevo.2019.00299,oa journal (via doaj),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2019-08-07,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2296-701X,2296-701X,Frontiers in Ecology and Evolution,Frontiers Media SA,2019-08-07,2019,Pollinator-Mediated Gene Flow Connects Green Roof Populations Across the Urban Matrix: A Paternity Analysis of the Self-Compatible Forb Penstemon hirsutus,2021-04-25T11:15:48.421924,YES
10.1007/s10592-011-0222-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1566-0621,1572-9737",1566-0621,Conservation Genetics,Springer Science and Business Media LLC,2011-05-11,2011,Songbird genetic diversity is lower in anthropogenically versus naturally fragmented landscapes,2021-01-16T03:00:29.259691,YES
10.1007/s11252-020-00958-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1083-8155,1573-1642",1083-8155,Urban Ecosystems,Springer Science and Business Media LLC,2020-03-02,2020,Effects of habitat fragment size and isolation on the density and genetics of urban red-backed salamanders (Plethodon cinereus),2021-01-14T10:50:34.647463,YES
10.1073/pnas.2102860119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0027-8424,1091-6490",0027-8424,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,2022-10-18,2022,Systemic racism alters wildlife genetic diversity,2023-02-26T05:38:49.690610,YES
10.1007/s10531-021-02256-x,2023-03-23T20:40:29.694708,https://link.springer.com/content/pdf/10.1007/s10531-021-02256-x.pdf,https://link.springer.com/content/pdf/10.1007/s10531-021-02256-x.pdf,https://doi.org/10.1007/s10531-021-02256-x,open (via crossref license),cc-by,publishedVersion,publisher,TRUE,NA,NA,NA,2021-07-27,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0960-3115,1572-9710",0960-3115,Biodiversity and Conservation,Springer Science and Business Media LLC,2021-07-27,2021,Genetic and ecological consequences of recent habitat fragmentation in a narrow endemic plant species within an urban context,2023-02-26T15:10:57.646569,YES
10.1007/s10531-021-02256-x,2023-02-23T01:08:53.344808,https://ro.ecu.edu.au/cgi/viewcontent.cgi?article=11984&context=ecuworkspost2013,https://ro.ecu.edu.au/cgi/viewcontent.cgi?article=11984&context=ecuworkspost2013,https://ro.ecu.edu.au/cgi/viewcontent.cgi?article=11984&context=ecuworkspost2013,oa repository (via OAI-PMH title and first author match),cc-by,publishedVersion,repository,FALSE,oai:ro.ecu.edu.au:ecuworkspost2013-11984,df1c578b0b5e151f0db,Edith Cowan University - Edith Cowan University Research Online,2021-09-15,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0960-3115,1572-9710",0960-3115,Biodiversity and Conservation,Springer Science and Business Media LLC,2021-07-27,2021,Genetic and ecological consequences of recent habitat fragmentation in a narrow endemic plant species within an urban context,2023-02-26T15:10:57.646569,YES
