zone,house,trap,TotalRichness,TotalAbundance,DetritRichness,DetritAbund,HerbivRichness,HerbivAbund,PollinRichness,PollinAbun,PredatRichness,PredatAbund,ParasRichness,ParasAbund,LocalPlantCover,logAge,logDepth,logHeight,logArea,logGreenCovLandsc,logPlantRichness
vp,C5,TA1,20,26,4,5,9,10,1,1,2,2,3,7,0.142968916,1.380211242,0.84509804,0.361727836,0.812913357,1.976165124,0.698970004
vp,C5,TA2,19,56,2,4,6,23,2,2,5,11,5,16,0.142968916,1.380211242,0.84509804,0.361727836,0.812913357,1.976165124,0.698970004
vp,C5,TA3,12,19,2,2,8,14,0,0,1,2,1,1,0.142968916,1.380211242,0.84509804,0.361727836,0.812913357,1.976165124,0.698970004
vp,C6,TA1,25,50,7,8,9,19,1,1,6,19,3,4,0.512560602,1.857332496,0.698970004,0.40654018,1.397940009,1.992240607,1.146128036
vp,C6,TA2,11,31,2,2,4,18,0,0,2,4,2,2,0.512560602,1.857332496,0.698970004,0.40654018,1.397940009,1.992240607,1.146128036
vp,C6,TA3,25,114,5,12,6,18,3,12,4,47,6,14,0.512560602,1.857332496,0.698970004,0.40654018,1.397940009,1.992240607,1.146128036
vp,C7,TA1,22,75,3,3,12,36,2,2,3,3,3,31,0.229977323,1.681241237,1.176091259,0.397940009,1.698970004,1.998428924,0.903089987
vp,C7,TA2,52,281,9,34,24,177,10,16,10,27,4,31,0.229977323,1.681241237,1.176091259,0.397940009,1.698970004,1.998428924,0.903089987
vp,C7,TA3,30,152,4,8,18,95,1,1,5,14,2,34,0.229977323,1.681241237,1.176091259,0.397940009,1.698970004,1.998428924,0.903089987
vp,C8,TA1,23,102,4,7,11,28,1,1,3,4,3,61,0.25926562,1.556302501,1.176091259,0.544068044,1.799340549,1.998489506,1.079181246
vp,C8,TA2,28,98,3,6,15,50,0,0,3,4,5,36,0.25926562,1.556302501,1.176091259,0.544068044,1.799340549,1.998489506,1.079181246
vp,C8,TA3,27,169,2,50,11,68,1,1,9,10,3,39,0.25926562,1.556302501,1.176091259,0.544068044,1.799340549,1.998489506,1.079181246
vp,C9,TA1,12,24,4,8,5,12,1,1,1,1,1,2,0.31588482,1.301029996,1.079181246,0.544068044,1.301029996,1.995116803,1
vp,C9,TA2,18,37,3,7,8,20,1,1,4,5,3,5,0.31588482,1.301029996,1.079181246,0.544068044,1.301029996,1.995116803,1
vp,C9,TA3,32,62,5,12,14,20,3,9,5,22,6,6,0.31588482,1.301029996,1.079181246,0.544068044,1.301029996,1.995116803,1
vp,C10,TA1,11,17,1,1,1,4,0,0,1,1,6,9,0.327896821,1.77815125,1.176091259,0.544068044,1.812913357,1.988199423,0.698970004
vp,C10,TA2,9,17,0,0,1,3,1,1,2,6,4,6,0.327896821,1.77815125,1.176091259,0.544068044,1.812913357,1.988199423,0.698970004
vp,C10,TA3,44,113,12,16,14,56,5,6,7,24,3,7,0.327896821,1.77815125,1.176091259,0.544068044,1.812913357,1.988199423,0.698970004
vp,C11,TA1,25,115,3,3,17,77,0,0,1,11,3,23,0.023155632,1.556302501,0.903089987,0.397940009,1.602059991,1.994842213,0.602059991
vp,C11,TA2,21,48,1,1,12,24,2,2,4,7,2,14,0.023155632,1.556302501,0.903089987,0.397940009,1.602059991,1.994842213,0.602059991
vp,C11,TA3,32,89,7,7,15,59,3,3,6,6,3,16,0.023155632,1.556302501,0.903089987,0.397940009,1.602059991,1.994842213,0.602059991
vp,C12,TA1,24,60,4,4,12,42,2,2,1,4,6,9,0.138631793,1.380211242,1.113943352,0.423245874,2.021189299,1.981831287,1.204119983
vp,C12,TA2,36,108,4,4,16,69,2,2,5,15,6,16,0.138631793,1.380211242,1.113943352,0.423245874,2.021189299,1.981831287,1.204119983
vp,C12,TA3,30,97,2,2,15,49,2,2,8,11,4,34,0.138631793,1.380211242,1.113943352,0.423245874,2.021189299,1.981831287,1.204119983
vp,C13,TA1,26,99,6,7,14,42,0,0,2,14,3,33,0.245529712,0.77815125,1.176091259,0.568201724,1.544068044,1.998973418,0.954242509
vp,C13,TA2,24,90,4,5,12,31,0,0,3,19,3,32,0.245529712,0.77815125,1.176091259,0.568201724,1.544068044,1.998973418,0.954242509
vp,C13,TA3,25,116,5,7,10,45,1,1,4,22,5,41,0.245529712,0.77815125,1.176091259,0.568201724,1.544068044,1.998973418,0.954242509
vp,C14,TA1,33,256,3,15,16,191,1,1,5,16,9,32,0.061643464,0.698970004,0.698970004,0.477121255,1.903089987,1.998156421,0.77815125
vp,C14,TA2,35,173,2,2,18,117,3,3,4,24,9,27,0.061643464,0.698970004,0.698970004,0.477121255,1.903089987,1.998156421,0.77815125
vp,C14,TA3,27,110,5,8,10,68,1,4,3,6,5,20,0.061643464,0.698970004,0.698970004,0.477121255,1.903089987,1.998156421,0.77815125
vp,C15,TA1,30,213,2,2,17,156,3,3,4,10,6,44,0.158378193,1.477121255,1,0.740362689,1.991226076,1.999094421,0.77815125
vp,C15,TA2,32,228,6,72,18,135,0,0,3,6,5,18,0.158378193,1.477121255,1,0.740362689,1.991226076,1.999094421,0.77815125
vp,C15,TA3,29,244,5,38,15,172,0,0,3,3,4,29,0.158378193,1.477121255,1,0.740362689,1.991226076,1.999094421,0.77815125
cp,C16,TA1,19,84,4,51,6,19,2,2,4,7,3,4,0.366329388,1.380211242,1.176091259,0.477121255,1.51851394,1.46166957,1.113943352
cp,C16,TA2,15,127,3,86,6,29,1,1,3,7,2,5,0.366329388,1.380211242,1.176091259,0.477121255,1.51851394,1.46166957,1.113943352
cp,C16,TA3,4,8,0,0,2,4,2,3,0,0,0,0,0.366329388,1.380211242,1.176091259,0.477121255,1.51851394,1.46166957,1.113943352
cp,C17,TA1,23,91,3,31,11,26,1,1,2,2,5,30,0.134014584,1.556302501,1.176091259,0.544068044,1.301029996,1.227421323,1.176091259
cp,C17,TA2,23,91,4,17,12,47,1,1,2,3,6,26,0.134014584,1.556302501,1.176091259,0.544068044,1.301029996,1.227421323,1.176091259
cp,C17,TA3,21,89,3,21,9,39,1,1,3,6,6,24,0.134014584,1.556302501,1.176091259,0.544068044,1.301029996,1.227421323,1.176091259
cp,C18,TA1,25,53,5,17,13,26,1,1,3,5,2,3,0.18523654,0.77815125,0.698970004,0.740362689,1.477121255,1.45293587,0.698970004
cp,C18,TA2,24,70,5,7,13,54,2,2,1,2,2,3,0.18523654,0.77815125,0.698970004,0.740362689,1.477121255,1.45293587,0.698970004
cp,C18,TA3,30,58,4,15,22,36,3,4,2,5,2,2,0.18523654,0.77815125,0.698970004,0.740362689,1.477121255,1.45293587,0.698970004
cp,C19,TA1,32,437,0,0,17,234,0,0,6,12,6,188,0.078740578,1.924279286,0.903089987,0.903089987,2.602059991,1.586634557,0.954242509
cp,C19,TA2,36,676,3,6,17,323,1,1,8,9,5,335,0.078740578,1.924279286,0.903089987,0.903089987,2.602059991,1.586634557,0.954242509
cp,C19,TA3,22,369,1,1,12,258,0,0,2,2,5,105,0.078740578,1.924279286,0.903089987,0.903089987,2.602059991,1.586634557,0.954242509
cp,C20,TA1,30,63,4,6,10,23,2,2,4,12,5,13,0.45235648,1.556302501,1.176091259,0.602059991,1.84509804,1.688592438,1.079181246
cp,C20,TA2,26,89,5,30,11,47,2,3,3,3,2,3,0.45235648,1.556302501,1.176091259,0.602059991,1.84509804,1.688592438,1.079181246
cp,C20,TA3,30,102,5,17,15,53,2,4,3,18,4,10,0.45235648,1.556302501,1.176091259,0.602059991,1.84509804,1.688592438,1.079181246
cp,C21,TA1,25,174,7,38,11,71,2,2,2,3,5,62,0.616285971,0.77815125,1.176091259,0.380211242,1.51851394,1.461252347,1.278753601
cp,C21,TA2,24,165,6,28,10,82,2,2,4,17,1,37,0.616285971,0.77815125,1.176091259,0.380211242,1.51851394,1.461252347,1.278753601
cp,C21,TA3,24,133,4,16,10,66,0,0,4,22,4,39,0.616285971,0.77815125,1.176091259,0.380211242,1.51851394,1.461252347,1.278753601
cp,C22,TA1,17,373,3,4,8,95,1,1,4,7,1,264,0.348937089,1.380211242,0.903089987,0.397940009,1.633468456,1.255942731,1.079181246
cp,C22,TA2,25,444,5,64,8,67,1,1,4,6,4,167,0.348937089,1.380211242,0.903089987,0.397940009,1.633468456,1.255942731,1.079181246
cp,C22,TA3,24,605,5,118,11,176,2,11,8,23,1,90,0.348937089,1.380211242,0.903089987,0.397940009,1.633468456,1.255942731,1.079181246
sc,C23,TA1,34,135,7,9,15,104,3,3,4,11,6,11,0.104450194,1.079181246,1,0.45484486,1.84509804,1.984371119,1.041392685
sc,C23,TA2,30,106,8,23,10,55,2,3,2,7,10,21,0.104450194,1.079181246,1,0.45484486,1.84509804,1.984371119,1.041392685
sc,C23,TA3,40,159,7,23,18,99,3,7,7,22,6,15,0.104450194,1.079181246,1,0.45484486,1.84509804,1.984371119,1.041392685
sc,C24,TA1,20,296,3,9,9,171,0,0,4,16,3,99,0.089338938,1.77815125,1,0.477121255,1.301029996,1.963951601,0.698970004
sc,C24,TA2,16,156,2,13,6,58,1,1,2,3,3,79,0.089338938,1.77815125,1,0.477121255,1.301029996,1.963951601,0.698970004
sc,C24,TA3,20,172,4,5,5,78,1,1,2,5,4,75,0.089338938,1.77815125,1,0.477121255,1.301029996,1.963951601,0.698970004
sc,C25,TA1,39,256,11,29,9,19,6,10,9,195,7,10,0.122676909,1.77815125,1,0.544068044,1.602059991,1.968126027,0.954242509
sc,C25,TA2,22,80,3,15,12,22,2,3,5,37,1,5,0.122676909,1.77815125,1,0.544068044,1.602059991,1.968126027,0.954242509
sc,C25,TA3,47,220,12,29,13,31,9,26,8,117,8,18,0.122676909,1.77815125,1,0.544068044,1.602059991,1.968126027,0.954242509
sc,C26,TA1,31,170,6,26,13,115,3,5,3,17,6,9,0.09557947,1.380211242,1,0.740362689,1.748188027,1.995391219,1
sc,C26,TA2,36,113,6,24,12,51,0,0,9,27,7,11,0.09557947,1.380211242,1,0.740362689,1.748188027,1.995391219,1
sc,C26,TA3,29,124,5,18,14,59,2,5,4,28,3,12,0.09557947,1.380211242,1,0.740362689,1.748188027,1.995391219,1
sc,C27,TA1,23,96,3,15,6,17,1,1,6,7,8,57,0.216309973,1.079181246,0.84509804,0.380211242,1.477121255,1.968450726,0.602059991
sc,C27,TA2,28,182,7,15,13,54,2,4,4,10,2,102,0.216309973,1.079181246,0.84509804,0.380211242,1.477121255,1.968450726,0.602059991
sc,C27,TA3,19,144,5,7,8,15,1,1,3,4,2,117,0.216309973,1.079181246,0.84509804,0.380211242,1.477121255,1.968450726,0.602059991
sc,C28,TA1,39,274,7,42,20,123,3,6,5,75,5,23,0.411680449,1.477121255,1.096910013,0.477121255,1.681241237,1.99812589,1.204119983
sc,C28,TA2,41,186,8,14,18,111,2,3,5,37,8,16,0.411680449,1.477121255,1.096910013,0.477121255,1.681241237,1.99812589,1.204119983
sc,C28,TA3,37,224,8,32,15,81,2,3,3,67,7,24,0.411680449,1.477121255,1.096910013,0.477121255,1.681241237,1.99812589,1.204119983
sc,C29,TA1,26,64,7,14,11,23,2,2,3,12,2,3,0.394436941,1.77815125,1.176091259,0.301029996,0.77815125,1.992976561,0.77815125
sc,C29,TA2,14,31,6,15,3,5,1,1,2,3,0,0,0.394436941,1.77815125,1.176091259,0.301029996,0.77815125,1.992976561,0.77815125
sc,C29,TA3,23,47,7,11,5,7,0,0,5,12,0,0,0.394436941,1.77815125,1.176091259,0.301029996,0.77815125,1.992976561,0.77815125
sc,C30,TA1,30,409,3,16,16,249,2,2,6,6,4,137,0.234523606,1.380211242,1.113943352,0.397940009,1.505149978,1.998277652,1
sc,C30,TA2,24,194,6,8,11,43,1,1,5,6,1,137,0.234523606,1.380211242,1.113943352,0.397940009,1.505149978,1.998277652,1
sc,C30,TA3,37,303,8,30,18,128,1,1,5,11,4,132,0.234523606,1.380211242,1.113943352,0.397940009,1.505149978,1.998277652,1
