"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KGN8HDZK","journalArticle","2018","Ehlers Smith, Yvette C.; Ehlers Smith, David A.; Ramesh, T.; Downs, Colleen T.","Forest habitats in a mixed urban-agriculture mosaic landscape: patterns of mammal occupancy","Landscape Ecology","","0921-2973, 1572-9761","10.1007/s10980-017-0580-1","http://link.springer.com/10.1007/s10980-017-0580-1","","2018-01","2023-05-02 20:12:23","2023-05-08 15:17:38","2023-05-02 20:12:20","59-76","","1","33","","Landscape Ecol","Forest habitats in a mixed urban-agriculture mosaic landscape","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Ehlers Smith_etal_2018_Landscape Ecol.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMKU2R3B","journalArticle","2022","Zuo, Qian; Zhou, Yong; Liu, Jingyi","Construction and Optimization Strategy of an Ecological Network in Mountainous Areas: A Case Study in Southwestern Hubei Province, China","International Journal of Environmental Research and Public Health","","1660-4601","10.3390/ijerph19159582","https://www.mdpi.com/1660-4601/19/15/9582","High-intensity urban development and economic exploitation have led to the fragmentation and isolation of regional habitat patches, and biodiversity is under serious threat. Scientific identification and effective optimization of ecological networks are essential for maintaining and restoring regional ecosystem connectivity and guiding sustainable socio-economic development. Taking the mountainous areas of southwest Hubei Province (MASHP) in central China as an example, this study first developed a new integrated approach to identify ecological sources based on a quantitative assessment of ecosystem services and the morphological spatial pattern analysis (MSPA) method; it then used the Linkage Mapper tool to extract ecological corridors, applied the principle of hydrological analysis to identify ecological nodes, evaluated each ecological element to quantify its importance, and finally constructed the ecological network and further proposed some optimization countermeasures. The results show that the ecological network in the MASHP is dominated by ecological resources composed of forestland. Connectivity in the central region is significantly better than in other regions, including 49 ecological sources with an area of 3837.92 km2, 125 ecological corridors with a total length of 2014.61 km, and 46 ecological nodes. According to the spatial distribution of crucial ecological landscape elements, a complete and systematic ecological framework of “two verticals, three belts, three groups, and multiple nodes” was proposed. The internal optimization of the ecological network in mountainous areas should focus on improving ecological flow, and strategies such as enhancing the internal connectivity of ecosystems, unblocking ecological corridors, and dividing ecological functional zones can be adopted. Based on the above analyses, this study also made recommendations for ecological protection and development and construction planning in mountainous areas. This study can provide realistic paths and scientific guidelines for ecological security and high-quality development in the MASHP, and it can also have implications for the construction of ecological networks and comprehensive ecological management in other mountainous areas.","2022-08-04","2023-05-02 20:12:23","2023-05-08 15:17:38","2023-05-02 20:12:20","9582","","15","19","","IJERPH","Construction and Optimization Strategy of an Ecological Network in Mountainous Areas","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Zuo_etal_2022_IJERPH.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3VA4KLP","journalArticle","2018","Varella, Tatiane Lemos; Rossi, Ana Aparecida Bandini; Souza, Maicon Douglas Arenas De; Silveira, Greiciele Farias Da; Cochev, Jakeline Santos; Toledo, José Julio De; Silva, Carolina Joana Da","ESTRUTURA POPULACIONAL E DISTRIBUIÇÃO ESPACIAL DE <i>Theobroma speciosum</i> Willd. Ex Spreng NO NORTE DO ESTADO DE MATO GROSSO","Ciência Florestal","","1980-5098, 0103-9954","10.5902/1980509831589","https://periodicos.ufsm.br/cienciaflorestal/article/view/31589","Entender os padrões de estrutura e distribuição espacial das espécies de árvores é fundamental para prever a variação espacial de processos sucessionais, genéticos e ecológicos de um ecossistema florestal. Neste estudo foram analisadas a estrutura populacional e a distribuição espacial de Theobroma speciosum (cacauí) em três fragmentos florestais urbanos (Parques C/E com 6,72 ha amostrados, J com 3,92 ha e Zoobotânico com 15,84 ha) em Alta Floresta e no Parque Nacional do Juruena - PNJu (com 3,2 ha amostrados) no norte do estado de Mato Grosso. Foram amostrados 323 indivíduos de Theobroma speciosum, sendo 50 no fragmento do Parque C/E (7,44 ind. ha-1), 32 no Parque J (8,16 ind.ha-1), 76 no Parque Zoobotânico (4,79 ind. ha-1 ) e 165 no PNJu (51,56 ind. ha-1). A menor densidade de indivíduos encontrada nos parques urbanos pode estar relacionada com o processo de fragmentação, visto que não houve uma relação positiva da densidade e do número de indivíduos com a área amostral. Além disso, a maior densidade foi encontrada no PNJu, que é uma unidade de conservação de floresta contínua e com nenhuma intervenção antrópica recente. Os fragmentos florestais urbanos (com exceção do Parque Zoobotânico) apresentaram uma menor quantidade de indivíduos nas classes inferiores de diâmetro (0-5 cm) e altura (0-5 m) com relação à estrutura encontrada no PNJu. Essa diferença provavelmente deve-se à menor área dos Parques C/E e J e consequentemente a um efeito de borda mais intenso que afetou a regeneração florestal. O padrão de distribuição dos indivíduos em todas as populações foi agregado. Esses resultados indicam que a espécie é susceptível à fragmentação provavelmente devido ao isolamento, pois apresenta autoincompatibilidade e uma dispersão zoocórica limitada.","2018-04-02","2023-05-02 20:12:24","2023-05-08 15:17:38","2023-05-02 20:12:20","115-126","","1","28","","Ciênc. Florest.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Varella_etal_2018_Cienc. Florest..pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3PGTTUH","journalArticle","2022","Baini, Francesco; Zapparoli, Marzio","Centipedes (Chilopoda) in urban forest habitats: the case of the metropolitan city of Rome area (Central Italy)","Rendiconti Lincei. Scienze Fisiche e Naturali","","2037-4631, 1720-0776","10.1007/s12210-022-01075-8","https://link.springer.com/10.1007/s12210-022-01075-8","","2022-09","2023-05-02 20:12:24","2023-05-08 15:17:38","2023-05-02 20:12:20","591-601","","3","33","","Rend. Fis. Acc. Lincei","Centipedes (Chilopoda) in urban forest habitats","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Baini_Zapparoli_2022_Rend. Fis. Acc. Lincei.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EENJWIPD","journalArticle","2020","Smeraldo, Sonia; Bosso, Luciano; Fraissinet, Maurizio; Bordignon, Lucio; Brunelli, Massimo; Ancillotto, Leonardo; Russo, Danilo","Modelling risks posed by wind turbines and power lines to soaring birds: the black stork (Ciconia nigra) in Italy as a case study","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-020-01961-3","http://link.springer.com/10.1007/s10531-020-01961-3","","2020-05","2023-05-02 20:12:24","2023-05-08 15:17:39","2023-05-02 20:12:20","1959-1976","","6","29","","Biodivers Conserv","Modelling risks posed by wind turbines and power lines to soaring birds","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Smeraldo_etal_2020_Biodivers Conserv.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHBEM4R3","journalArticle","2017","Wang, Jianan; Liu, Hui; Zemin, Wu; Li, Yingying","Landscape pattern analysis of the urban forest and green network structure in the Pudong district of Shanghai, China","Revista Chapingo Serie Ciencias Forestales y del Ambiente","","20073828, 20074018","10.5154/r.rchscfa.2016.12.069","https://revistas.chapingo.mx/forestales/article/view/r.rchscfa.2016.12.069","","2017-08","2023-05-02 20:12:25","2023-05-08 15:17:39","2023-05-02 20:12:20","457-473","","3","23","","rchscfa","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Wang_etal_2017_rchscfa.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNG683RG","journalArticle","2022","Das, Tanmoy; Shahfahad; Naikoo, Mohd Waseem; Talukdar, Swapan; Parvez, Ayesha; Rahman, Atiqur; Pal, Swades; Asgher, Md Sarfaraz; Islam, Abu Reza Md. Towfiqul; Mosavi, Amir","Analysing Process and Probability of Built-Up Expansion Using Machine Learning and Fuzzy Logic in English Bazar, West Bengal","Remote Sensing","","2072-4292","10.3390/rs14102349","https://www.mdpi.com/2072-4292/14/10/2349","The study sought to investigate the process of built-up expansion and the probability of built-up expansion in the English Bazar Block of West Bengal, India, using multitemporal Landsat satellite images and an integrated machine learning algorithm and fuzzy logic model. The land use and land cover (LULC) classification were prepared using a support vector machine (SVM) classifier for 2001, 2011, and 2021. The landscape fragmentation technique using the landscape fragmentation tool (extension for ArcGIS software) and frequency approach were proposed to model the process of built-up expansion. To create the built-up expansion probability model, the dominance, diversity, and connectivity index of the built-up areas for each year were created and then integrated with fuzzy logic. The results showed that, during 2001–2021, the built-up areas increased by 21.67%, while vegetation and water bodies decreased by 9.28 and 4.63%, respectively. The accuracy of the LULC maps for 2001, 2011, and 2021 was 90.05, 93.67, and 96.24%, respectively. According to the built-up expansion model, 9.62% of the new built-up areas was created in recent decades. The built-up expansion probability model predicted that 21.46% of regions would be converted into built-up areas. This study will assist decision-makers in proposing management strategies for systematic urban growth that do not damage the environment.","2022-05-12","2023-05-02 20:12:25","2023-05-08 15:17:39","2023-05-02 20:12:20","2349","","10","14","","Remote Sensing","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Das_etal_2022_Remote Sensing.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSG9EPMQ","journalArticle","2015","Escobar, Luis E.; Awan, Muhammad Naeem; Qiao, Huijie","Anthropogenic disturbance and habitat loss for the red-listed Asiatic black bear ( Ursus thibetanus ): Using ecological niche modeling and nighttime light satellite imagery","Biological Conservation","","00063207","10.1016/j.biocon.2015.06.040","https://linkinghub.elsevier.com/retrieve/pii/S0006320715300021","","2015-11","2023-05-02 20:12:25","2023-05-08 15:17:39","2023-05-02 20:12:20","400-407","","","191","","Biological Conservation","Anthropogenic disturbance and habitat loss for the red-listed Asiatic black bear ( Ursus thibetanus )","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Escobar_etal_2015_Biological Conservation.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QNDG5HA","journalArticle","2021","Von Thaden, J.; Badillo-Montaño, R.; Lira-Noriega, A.; García-Ramírez, A.; Benítez, G.; Equihua, M.; Looker, N.; Pérez-Maqueo, O.","Contributions of green spaces and isolated trees to landscape connectivity in an urban landscape","Urban Forestry & Urban Greening","","16188667","10.1016/j.ufug.2021.127277","https://linkinghub.elsevier.com/retrieve/pii/S1618866721003046","","2021-09","2023-05-02 20:12:26","2023-05-08 15:17:39","2023-05-02 20:12:20","127277","","","64","","Urban Forestry & Urban Greening","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\Von Thaden_etal_2021_Urban Forestry & Urban Greening.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZX92EBD","journalArticle","2010","James, Philip; Norman, David; Clarke, Jeff J.","Avian population dynamics and human induced change in an urban environment","Urban Ecosystems","","1083-8155, 1573-1642","10.1007/s11252-010-0132-9","http://link.springer.com/10.1007/s11252-010-0132-9","","2010-12","2023-05-02 20:12:26","2023-05-08 15:17:39","2023-05-02 20:12:20","499-515","","4","13","","Urban Ecosyst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andrh\OneDrive - Carleton University\Zotero storage\storage\FULLSCREENING\MAYBE\James_etal_2010_Urban Ecosyst.pdf","","MAYBE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
