Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_type,Pub_name,DOI,City,Country,Study_year,Study_class,Study_order,Study_spec,Study_effect,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,Conn_tool,r_metric,r_method,corr_type,mi,ri,ti,fi,pi,bi,var_sdi,var_type,R2i,ni,n_type,NOTES
5,15,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,aggregation index of builtup,1,adjacency,grey,fragstats,species richness,transect survey,pearson,na,-0.67,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,16,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,aggregation index of builtup,1,adjacency,grey,fragstats,abundance,transect survey,pearson,na,-0.67,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,17,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,proportion impervious in buffer,1,area,grey,fragstats,species richness,transect survey,pearson,na,-0.75,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,18,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,proportion impervious in buffer,1,area,grey,fragstats,abundance,transect survey,pearson,na,-0.65,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,19,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,proportion greenspace in buffer,1,area,green,fragstats,species richness,transect survey,pearson,na,0.71,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
5,20,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,journalarticle,Landscape Ecology,10.1007/s10980-011-9651-x,Marseille,France,2008,insecta,lepidoptera,na,associative,structural,proportion greenspace in buffer,1,area,green,fragstats,abundance,transect survey,pearson,na,0.56,na,na,na,na,na,na,na,24,sites - parks,Results presented as log(). Table2
6,21,A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Grafius,2017,journalarticle,Landscape Ecology,10.1007/s10980-017-0548-1,"Milton Keynes, Bedford, Luton",United Kingdom,2014,aves,passeriformes,blue tit,associative,functional,current flow,0.06,resistance,perm,circuitscape,abundance,site survey,glm-poisson,na,na,na,na,0.0296,na,na,na,0.012,420,sites - samples,"Landscape resistance values estimated from literature. Z-(t) values calculated from p, assuming normal distribution"
6,22,A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Grafius,2017,journalarticle,Landscape Ecology,10.1007/s10980-017-0548-1,"Milton Keynes, Bedford, Luton",United Kingdom,2014,aves,passeriformes,great tit,associative,functional,current flow,0.06,resistance,perm,circuitscape,abundance,site survey,glm-poisson,na,na,na,na,0.0657,na,na,na,0.015,259,sites - samples,"Landscape resistance values estimated from literature. Z-(t) values calculated from p, assuming normal distribution"
6,23,A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Grafius,2017,journalarticle,Landscape Ecology,10.1007/s10980-017-0548-1,"Milton Keynes, Bedford, Luton",United Kingdom,2014,aves,passeriformes,chiffchaff,associative,functional,current flow,0.06,resistance,perm,circuitscape,abundance,site survey,glm-poisson,na,na,na,na,0.4569,na,na,na,0.011,62,sites - samples,"Landscape resistance values estimated from literature. Z-(t) values calculated from p, assuming normal distribution"
6,24,A bird’s eye view: using circuit theory to study urban landscape connectivity for birds,Grafius,2017,journalarticle,Landscape Ecology,10.1007/s10980-017-0548-1,"Milton Keynes, Bedford, Luton",United Kingdom,2014,aves,piciformes,great spotted woodpecker,associative,functional,current flow,0.06,resistance,perm,circuitscape,abundance,site survey,glm-poisson,na,na,na,na,0.2742,na,na,na,0.031,53,sites - samples,"Landscape resistance values estimated from literature. Z-(t) values calculated from p, assuming normal distribution"
7,25,"Relative importance of quantity, quality and isolation of patches for butterfly diversity in fragmented urban forests",Soga,2012,journalarticle,Ecological Research,http://doi.wiley.com/10.1007/s11284-011-0896-2,Tokyo,Japan,2009,insecta,lepidoptera,na,associative,potential,incidence function measure,1,distance-weighted area,green,GIS,species richness,transect survey,glm-poisson,3,na,na,na,na,0,0.02,SE,na,20,sites - patch,Hanski's metric
7,26,"Relative importance of quantity, quality and isolation of patches for butterfly diversity in fragmented urban forests",Soga,2012,journalarticle,Ecological Research,http://doi.wiley.com/10.1007/s11284-011-0896-2,Tokyo,Japan,2009,insecta,lepidoptera,na,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,transect survey,glm-poisson,3,na,na,na,na,0,0,SE,na,20,sites - patch,structural connectivity to the surrounding forest
8,27,Ecological corridors also operate in an urban matrix: A test case with garden shrews,Verges,2013,journalarticle,Urban Ecosystems,10.1007/s11252-013-0289-0,Paris,France,2009,mammalia,eulipotyphla,shrews,associative,structural,distance to corridor,na,distance,dist-green,GIS,occurrence,pitfall trap,glm-logistic,na,na,na,na,na,-0.8,0.43,SE,na,4,sites - woodlot,"TO corridors, predictor variables were log transformed. Parameter estimates from glm with binomial error structure. "
8,28,Ecological corridors also operate in an urban matrix: A test case with garden shrews,Verges,2013,journalarticle,Urban Ecosystems,10.1007/s11252-013-0289-0,Paris,France,2009,mammalia,eulipotyphla,shrews,associative,structural,distance to woodlot,na,distance,dist-green,GIS,occurrence,pitfall trap,glm-logistic,na,na,na,na,na,-1.34,0.85,SE,na,4,sites - woodlot,"TO woodlands, predictor variables were log transformed. Parameter estimates from glm with binomial error structure"
9,29,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,breeding birds,associative,structural,area developed in buffer,1,area,grey,GIS,species richness,local society survey,pearson,na,0.33,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,30,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,migratory birds,associative,structural,area developed in buffer,1,area,grey,GIS,species richness,local society survey,pearson,na,0.55,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,31,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,wintering birds,associative,structural,area developed in buffer,1,area,grey,GIS,species richness,local society survey,pearson,na,0.47,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,32,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,breeding birds,associative,structural,area developed in buffer,5,area,grey,GIS,species richness,local society survey,pearson,na,0.46,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,33,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,migratory birds,associative,structural,area developed in buffer,5,area,grey,GIS,species richness,local society survey,pearson,na,0.53,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,34,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,wintering birds,associative,structural,area developed in buffer,5,area,grey,GIS,species richness,local society survey,pearson,na,0.55,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,35,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,breeding birds,associative,structural,area developed in patch,na,area,grey,GIS,species richness,local society survey,pearson,na,0.41,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,36,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,migratory birds,associative,structural,area developed in patch,na,area,grey,GIS,species richness,local society survey,pearson,na,0.71,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
9,37,"Avifauna richness enhanced in large, isolated urban parks",Oliver,2011,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2011.04.007,St. Louis,United States,1999-07,aves,na,wintering birds,associative,structural,area developed in patch,na,area,grey,GIS,species richness,local society survey,pearson,na,0.59,na,na,na,na,na,na,na,20,sites - parks,"No extractable data from the models, using pearson correlations instead."
10,38,Urbanization reduces gene flow but not genetic diversity of stream salamander populations in the New York City metropolitan area,Fusco,2021,journalarticle,Evolutionary Applications,10.1111/eva.13025,Bedford,United States,2014,amphibia,urodela,northern two-lined salamander,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance,genetic-SNP,mantel,na,0.24,na,na,na,na,na,na,na,153,individual genotype,"Using SNPs, and the bed2diff tool for dissimilarity matrix. This is Bedford NY"
10,39,Urbanization reduces gene flow but not genetic diversity of stream salamander populations in the New York City metropolitan area,Fusco,2021,journalarticle,Evolutionary Applications,10.1111/eva.13025,New York,United States,2010-17,amphibia,urodela,northern two-lined salamander,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance,genetic-SNP,mantel,na,0.81,na,na,na,na,na,na,na,105,individual genotype,"Using SNPs, and the bed2diff tool for dissimilarity matrix"
11,40,Effects of landscape features on gene flow among urban frog populations,Okamiya,2019,journalarticle,Ecological Research,10.1111/1440-1703.12011,Tokyo,Japan,2016,amphibia,anura,montane brown frog,associative,structural,geographic distance,0.5,distance,dist,GIS,genetic distance-Gst,genetic-microsatellite,mantel,na,0.17,na,na,0.007,na,na,na,na,33,sites - populations,"Using microsatellites for populations, estimated Gst"
11,41,Effects of landscape features on gene flow among urban frog populations,Okamiya,2019,journalarticle,Ecological Research,10.1111/1440-1703.12011,Tokyo,Japan,2016,amphibia,anura,montane brown frog,associative,functional,resistance distance,0.5,resistance,resist,GIS,genetic distance-Gst,genetic-microsatellite,mantel,na,0.42,na,na,0.001,na,na,na,na,33,sites - populations,"lfRu model (with urban resistances) Resistance distances estimated from habitat suitability model of allelic richness. Using microsatellites for populations, estimated Gst"
12,42,The importance of fragmentation and habitat quality of urban grasslands for butterfly diversity,Öckinger,2009,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2009.05.021,Malmo,Sweden,2006,insecta,lepidoptera,na,associative,structural,proportion green in buffer,1,area,green,GIS,species richness,transect survey,pearson,na,0.31,na,na,na,na,na,na,na,20,sites - samples,extracted from figure3
12,43,The importance of fragmentation and habitat quality of urban grasslands for butterfly diversity,Öckinger,2009,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2009.05.021,Malmo,Sweden,2006,insecta,lepidoptera,na,associative,structural,proportion green in buffer,1,area,green,GIS,species richness,transect survey,glm-poisson,10,na,na,9.17,0.008,0.309,na,na,na,20,sites - samples,model includes local and landscape variables
12,44,The importance of fragmentation and habitat quality of urban grasslands for butterfly diversity,Öckinger,2009,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2009.05.021,Malmo,Sweden,2006,insecta,lepidoptera,na,associative,structural,proportion green in buffer,1,area,green,GIS,species density,transect survey,glm-poisson,10,na,na,6.97,0.019,2.38,na,na,na,20,sites - samples,model includes local and landscape variables
12,45,The importance of fragmentation and habitat quality of urban grasslands for butterfly diversity,Öckinger,2009,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2009.05.021,Malmo,Sweden,2006,insecta,lepidoptera,na,associative,structural,distance to natural area,na,distance,dist-green,GIS,species richness,transect survey,glm-poisson,10,na,na,0.16,0.69,-0.026,na,na,na,20,sites - samples,model includes local and landscape variables
12,46,The importance of fragmentation and habitat quality of urban grasslands for butterfly diversity,Öckinger,2009,journalarticle,Landscape and Urban Planning,10.1016/j.landurbplan.2009.05.021,Malmo,Sweden,2006,insecta,lepidoptera,na,associative,structural,distance to natural area,na,distance,dist-green,GIS,species density,transect survey,glm-poisson,10,na,na,2.93,0.11,-49.1,na,na,na,20,sites - samples,model includes local and landscape variables
13,47,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,na,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.39,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. All plants, including native and non-native, on the riverbank in an 80m transect."
13,48,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,litter plant propagules,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.15,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. All plant propagues, including native and non-native, grown from leaf litter"
13,49,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,native plants,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.24,na,na,na,na,na,na,na,13,sites - sampled,Results from table 2. Only native species
13,50,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,native litter propagules,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.02,na,na,na,na,na,na,na,13,sites - sampled,Results from table 2. Native propagules grown from leaf litter
13,51,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,invasive plants,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.37,na,na,na,na,na,na,na,13,sites - sampled,Results from table 2. Only invasive species
13,52,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,invasive litter propagules,associative,structural,geographic distance,na,distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.29,na,na,na,na,na,na,na,13,sites - sampled,Results from table 2. Invasive progagules grown from leaf litter
13,53,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,na,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,-0.06,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
13,54,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,litter plant propagules,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.08,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
13,55,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,native plants,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,-0.05,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
13,56,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,native litter propagules,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,0.09,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
13,57,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,invasive plants,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,-0.02,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
13,58,Urban riparian systems function as corridors for both native and invasive plant species,Aronson,2017,journalarticle,Biological Invasions,10.1007/s10530-017-1583-1,New Jersey,United States,2011,plantae,na,invasive litter propagules,associative,structural,mean distance to landcover in buffer,0.2,mean distance,dist,GIS,jaccard dissimilarity,site survey,mantel,na,-0.09,na,na,na,na,na,na,na,13,sites - sampled,"Results from table 2. Metric described as 'landscape distance', but it's really a mean distance to landcover type in buffer; interpretable as 'distance similarity in landcover types'."
14,59,"Urban land use does not limit weaver bird movements between wetlands in Cape Town, South Africa",Calder,2015,journalarticle,Biological Conservation,10.1016/j.biocon.2015.04.021,Cape Town,South Africa,2007-13,aves,passeriformes,ploceidae,associative,structural,mean inverse patch distance,na,mean distance,prox,GIS,movement,site survey,pearson,na,0.56,4.28,na,na,na,na,na,na,42,sites - wetland,"Conn Movement INTO patch. Tagged and released for reobservation, proximity index based on Esselstyn et al. 2004. High values indicate more connectivity, low values indicate isolation."
14,60,"Urban land use does not limit weaver bird movements between wetlands in Cape Town, South Africa",Calder,2015,journalarticle,Biological Conservation,10.1016/j.biocon.2015.04.021,Cape Town,South Africa,2007-13,aves,passeriformes,ploceidae,associative,structural,mean inverse patch distance,na,mean distance,prox,GIS,movement,site survey,pearson,na,0.6,4.71,na,na,na,na,na,na,42,sites - wetland,"Conn Movement OUT of patch. Tagged and released for reobservation, proximity index based on Esselstyn et al. 2004. High values indicate more connectivity, low values indicate isolation."
15,61,Effects of urbanization on small-mammal communities and the population structure of synurbic species: an example of a medium-sized city,Łopucki,2013,journalarticle,Canadian Journal of Zoology,10.1139/cjz-2012-0168,Lublin,Poland,2007,mammalia,na,small mammals,associative,structural,edge contrast index,na,adjacency,grey,GIS,species richness,bait trap,spearman,na,-0.89,na,na,0.04,na,na,na,na,5,sites - parks,Authors use % edge contrast as a measure of patch isolation. Raw data is available in tables.
15,62,Effects of urbanization on small-mammal communities and the population structure of synurbic species: an example of a medium-sized city,Łopucki,2013,journalarticle,Canadian Journal of Zoology,10.1139/cjz-2012-0168,Lublin,Poland,2007,mammalia,na,small mammals,associative,structural,edge contrast index,na,adjacency,grey,GIS,shannon diversity,bait trap,spearman,na,-0.9,na,na,0.03,na,na,na,na,5,sites - parks,Authors use % edge contrast as a measure of patch isolation. Raw data is available in tables.
16,63,Life-history traits affect vulnerability of butterflies to habitat fragmentation in urban remnant forests,Soga,2012,journalarticle,Écoscience,10.2980/19-1-3455,Tokyo,Japan,2009,insecta,lepidoptera,na,associative,potential,incidence function measure,1,distance-weighted area,green,GIS,nestedness temperature,transect survey,spearman,na,-0.05,na,na,na,na,na,na,na,20,sites - forest fragments,Hanski's metric for habitat
16,64,Life-history traits affect vulnerability of butterflies to habitat fragmentation in urban remnant forests,Soga,2012,journalarticle,Écoscience,10.2980/19-1-3455,Tokyo,Japan,2009,insecta,lepidoptera,na,associative,structural,distance to natural area,na,distance,dist-green,GIS,nestedness temperature,transect survey,spearman,na,0,na,na,na,na,na,na,na,20,sites - forest fragments,geographic distance to continuous forested area
17,65,Genetic structure of an abundant small mammal is influenced by low intensity urbanization,Hurtado,2019,journalarticle,Conservation Genetics,10.1007/s10592-019-01163-7,Las Cruces,United States,2014,mammalia,rodentia,Merriam's kangaroo rat,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-microsatellite,mantel,na,0.26,na,na,0.47,na,na,na,na,10,sites - populations,"11 microsatellites, urban and 'wildland' (really suburban)"
17,66,Genetic structure of an abundant small mammal is influenced by low intensity urbanization,Hurtado,2019,journalarticle,Conservation Genetics,10.1007/s10592-019-01163-7,Las Cruces,United States,2014,mammalia,rodentia,Merriam's kangaroo rat,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-microsatellite,mantel,na,0.07,na,na,0.26,na,na,na,na,5,sites - populations,urban sites'
17,67,Genetic structure of an abundant small mammal is influenced by low intensity urbanization,Hurtado,2019,journalarticle,Conservation Genetics,10.1007/s10592-019-01163-7,Las Cruces,United States,2014,mammalia,rodentia,Merriam's kangaroo rat,associative,structural,geographic distance,na,distance,dist,GIS,genetic distance-Fst,genetic-microsatellite,mantel,na,-0.58,na,na,0.83,na,na,na,na,5,sites - populations,suburban sites'
18,68,"What makes urban parks good for California quail? Evaluating park suitability, species persistence, and the potential for reintroduction into a large urban national park",Iknayan,2022,journalarticle,Journal of Applied Ecology,10.1111/1365-2664.14045,San Francisco,United States,2018,aves,galliformes,california quail,associative,structural,distance to nearest neighbour,na,distance,dist-green,GIS,occurrence,citizen science,glm-logistic,9,na,na,na,na,-0.88,0.11,SE,na,1059,sites - parks,single season occupancy model - logit probabilities; nearest patch either stream or urban boundary
