ID,pd,item_type,pub_year,author,title,journal,ISBN,ISSN,DOI,URL,pdf,urban_area,country,conn_type,conn_metric,response_var,taxa,validation,data_location,excl_reason,result_sign,notes
287,YES,journalArticle,2019,"Balbi, Manon; Petit, Eric J.; Croci, Solene; Nabucet, Jean; Georges, Romain; Madec, Luc; Ernoult, Aude",Ecological relevance of least cost path analysis: An easy implementation method for landscape urban planning,Journal of Environmental Management,,3014797,10.1016/j.jenvman.2019.04.124,https://linkinghub.elsevier.com/retrieve/pii/S0301479719305912,Y,Rennes,France,"functional, actual",least-cost path,movement rate,mammalia,translocation experiment,"text, table, supplement",na,pos,"european hedgehogs, using translocation experiment. Leaning toward functional modelling. They use 4 metrics derived from the movement as response variables"
362,YES,journalArticle,2021,"Barr, Anna E.; Van Dijk, Laura J.A.; Hylander, Kristoffer; Tack, Ayco J.M.",Local habitat factors and spatial connectivity jointly shape an urban insect community,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2021.104177,https://linkinghub.elsevier.com/retrieve/pii/S0169204621001407,Y,Stockholm,Sweden,potential,connectivity index,"species richness, abundance, Pielou's evenness, herbivory",arthropod,site survey,"text, table, figure, supplement",na,mixed,"focus specifically on oak pests (leaf miners, galler), connectivity estimate is similar to Hanski imm/emg"
167,YES,journalArticle,2020,"Barthel, Leon M. F.; Wehner, Dana; Schmidt, Anke; Berger, Anne; Hofer, Heribert; Fickel, Jörns",Unexpected Gene-Flow in Urban Environments: The Example of the European Hedgehog,Animals,,2076-2615,10.3390/ani10122315,https://www.mdpi.com/2076-2615/10/12/2315,Y,Berlin,Germany,genetic,na,na,mammalia,genetic sample,na,5,na,"european hedgehog, 10 microsatellite loci. They don’t test IBD"
155,YES,journalArticle,2021,"Beaujean, Simon; Nor, Amal Najihah Muhamad; Brewer, Tim; Zamorano, Juan Gallego; Dumitriu, Alex Cristina; Harris, Jim; Corstanje, Ron",A multistep approach to improving connectivity and co-use of spatial ecological networks in cities,Landscape Ecology,,"0921-2973, 1572-9761",10.1007/s10980-020-01159-6,https://link.springer.com/10.1007/s10980-020-01159-6,Y,Liege,Belgium,"potential, functional","least-cost path, current flow",occurrence,amphibia,none,na,8,na,resistance values based on literature
322,YES,journalArticle,2014,"Bech, Nicolas; Manel, Stéphanie; Bro, Elisabeth; Novoa, Claude; Bijaoui-Georget, Benjamin-Marc; Beltran-Bech, Sophie; Boissier, Jérôme",Genetic connectivity of the grey partridge in central northern France in a highly man dominated landscape,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-014-0594-z,http://link.springer.com/10.1007/s10592-014-0594-z,Y,na,France,genetic,na,na,aves,genetic sample,na,3,na,"great grey parrots, populations were not in the urban area"
298,YES,journalArticle,2021,"Bellino, Alessandro; Baldantoni, Daniela; Milano, Vittoria; Santorufo, Lucia; Cortet, Jérôme; Maisto, Giulia",Spatial Patterns and Scales of Collembola Taxonomic and Functional Diversity in Urban Parks,Sustainability,,2071-1050,10.3390/su132313029,https://www.mdpi.com/2071-1050/13/23/13029,Y,Naples; Montpellier,"Italy, France",na,na,na,collembola,soil sample,na,5,na,connectivity described using graph metrics and eigenvector mapping. More of a functional trait study
302,YES,journalArticle,2009,"BenDor, Todd; Westervelt, James; Aurambout, J.P.; Meyer, William",Simulating population variation and movement within fragmented landscapes: An application to the gopher tortoise (Gopherus polyphemus),Ecological Modelling,,3043800,10.1016/j.ecolmodel.2009.01.005,https://linkinghub.elsevier.com/retrieve/pii/S030438000900026X,Y,na,na,na,na,na,na,na,na,9,na,na
1,YES,journalArticle,2016,"Beninde, Joscha; Feldmeier, Stephan; Werner, Maike; Peroverde, Daniel; Schulte, Ulrich; Hochkirch, Axel; Veith, Michael",Cityscape genetics: structural vs. functional connectivity of an urban lizard population,Molecular Ecology,,9621083,10.1111/mec.13810,https://onlinelibrary.wiley.com/doi/10.1111/mec.13810,Y,Trier,Germany,"genetic, potential, functional",,genetic differentiation,reptilia,genetic sample,"text, table, figure, supplement",na,mixed,"17 microsatellites, common wall lizard. Compared genetic data against models of structural and functional connectivity. Structural connect = potential = maxent presence model; Functional connect = pairwise genetic distance x environment "
349,YES,journalArticle,1997,"Bentley, Jocelyn M.; Catterall, Carla P.","The Use of Bushland, Corridors, and Linear Remnants by Birds in Southeastern Queensland, Australia. El Uso de Vegetacion Primaria, Corredores y Restos Lineares por Aves en el Sudeste de Queensland, Australia",Conservation Biology,,"0888-8892, 1523-1739",10.1046/j.1523-1739.1997.96100.x,http://doi.wiley.com/10.1046/j.1523-1739.1997.96100.x,Y,Queensland,Australia,structural,site isolation,community composition,aves,survey,"text, table",3,0,
272,YES,journalArticle,2014,"Bergeron, Alexandre; Pellerin, Stéphanie",Pteridophytes as indicators of urban forest integrity,Ecological Indicators,,1470160X,10.1016/j.ecolind.2013.10.015,https://linkinghub.elsevier.com/retrieve/pii/S1470160X13003865,Y,Montreal,Canada,structural,na,"species richness, occurrence",pteridophyta,site survey,na,5,na,"mentions connectivity, but provides no estimate and doesn’t include the estimate in the model"
20,YES,journalArticle,2014,"Bergsten, Arvid; Galafassi, Diego; Bodin, Örjan",The problem of spatial fit in social-ecological systems: detecting mismatches between ecological connectivity and land management in an urban region,Ecology and Society,,1708-3087,10.5751/ES-06931-190406,http://www.ecologyandsociety.org/vol19/iss4/art6/,Y,na,Sweden,potential,integral index of connectivity,na,amphibia,none,na,4,na,"whole country wide assessment of wetland connectivity, not explicitely focused on mapping within cities."
319,YES,journalArticle,2021,"Berthon, Katherine; Meyer, Sebastian T.; Thomas, Freya; Frank, Andrea; Weisser, Wolfgang W.; Bekessy, Sarah",Small-Scale Habitat Conditions Are More Important Than Site Context for Influencing Pollinator Visitation,Frontiers in Ecology and Evolution,,2296-701X,10.3389/fevo.2021.703311,https://www.frontiersin.org/articles/10.3389/fevo.2021.703311/full,Y,Munich,Germany,structural,proportion vegetation in 1km buffer,occupancy,arthropod,site survey,"text, table, figure, supplement",na,mixed,"pollinator species, controlling for plant types (they planted 5 flowers in each site). Results broken down by species with parameters are mostly in supplement"
18,YES,journalArticle,2021,"Bhakti, Tulaci; Pena, João Carlos; Niebuhr, Bernardo Brandão; Sampaio, Juliana; Goulart, Fernando Figueiredo; Azevedo, Cristiano Schetini De; Ribeiro, Milton Cezar; Antonini, Yasmine","Combining land cover, animal behavior, and master plan regulations to assess landscape permeability for birds",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2021.104171,https://linkinghub.elsevier.com/retrieve/pii/S0169204621001341,Y,Ouro Preto,Brazil,potential,least-cost path,"occurrence, frequency",aves,mob-call survey,"text, figure, supplement",8,na,"multiple corridor least-cost path analysis. Simulation based, no validation using empirical data, mob call survey was just to find 'detections'"
122,YES,journalArticle,2023,"Biello, Roberto; Brunelli, Andrea; Sozio, Giulia; Havenstein, Katja; Mortelliti, Alessio; Ketmaier, Valerio; Vilaça, Sibelle Torres; Bertorelle, Giorgio",The genetic structure and connectivity in two sympatric rodent species with different life histories are similarly affected by land use disturbances,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-022-01485-z,https://link.springer.com/10.1007/s10592-022-01485-z,Y,MULTIPLE,Italy,genetic,"geographic distance, resistance distance",genetic differentiation,mammalia,genetic sample,"text, supplement",4,mixed,"wood mice and bank voles, 7-8 microsat loci, not really IN a city, but in agricultural zone between urban areas"
253,YES,journalArticle,2022,"Blakey, Rachel V.; Sikich, Jeff A.; Blumstein, Daniel T.; Riley, Seth P.D.",Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape,Current Biology,,9609822,10.1016/j.cub.2022.08.082,https://linkinghub.elsevier.com/retrieve/pii/S0960982222014762,Y,Los Angeles,USA,na,na,na,mammalia,gps tracking,na,5,na,"not about connectivity, focused on forest fire affecting behaviours of mountain lions"
420,YES,journalArticle,1997,"Bolger, Douglas T.; Alberts, Allison C.; Sauvajot, Raymond M.; Potenza, Paula; McCalvin, Catherine; Tran, Dung; Mazzoni, Sabrina; Soulé, Michael E.",Response of Rodents to Habitat Fragmentation in Coastal Southern California,Ecological Applications,,1051-0761,10.1890/1051-0761(1997)007[0552:RORTHF]2.0.CO;2,https://onlinelibrary.wiley.com/doi/abs/10.1890/1051-0761%281997%29007%5B0552%3ARORTHF%5D2.0.CO%3B2,Y,Southern California,USA,structural,site isolation,species richness,rodentia,survey,"text, table",3,0,
98,YES,journalArticle,2014,"Bonthoux, Sébastien; Brun, Marion; Di Pietro, Francesca; Greulich, Sabine; Bouché-Pillon, Sabine",How can wastelands promote biodiversity in cities? A review,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2014.08.010,https://linkinghub.elsevier.com/retrieve/pii/S0169204614001960,Y,na,na,na,na,na,na,na,na,12,na,MIGHT be something useful here! See page 85 for LS conn effects
175,YES,journalArticle,2020,"Bounas, Anastasios; Keroglidou, Maria; Toli, Elisavet?Aspasia; Chousidis, Ieremias; Tsaparis, Dimitris; Leonardos, Ioannis; Sotiropoulos, Konstantinos","Constrained by aliens, shifting landscape, or poor water quality? Factors affecting the persistence of amphibians in an urban pond network",Aquatic Conservation: Marine and Freshwater Ecosystems,,"1052-7613, 1099-0755",10.1002/aqc.3309,https://onlinelibrary.wiley.com/doi/10.1002/aqc.3309,Y,Ioannina,Greece,structural,"# of patches in radius (500, 1000m)","probability of occurrence, species richness",amphibia,site survey,"text, figure, supplement",na,pos,# of ponds in radius is not really a metric of connectivity. 
264,YES,journalArticle,2014,"Braaker, S.; Ghazoul, J.; Obrist, M. K.; Moretti, M.",Habitat connectivity shapes urban arthropod communities: the key role of green roofs,Ecology,,0012-9658,10.1890/13-0705.1,http://doi.wiley.com/10.1890/13-0705.1,Y,Zurich,Switzerland,potential,current flow,movement,mammalia,gps tracking,"text, table, figure, supplement",na,pos,"40 individual european hedgehog, circuit theory used to model connectivity, using habitat mapping to design resistance layers. WEAK connectivity effect, hab quality accounted for more variance"
209,YES,journalArticle,2017,"Braaker, S.; Kormann, U.; Bontadina, F.; Obrist, M.K.","Prediction of genetic connectivity in urban ecosystems by combining detailed movement data, genetic data and multi-path modelling",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2016.12.011,https://linkinghub.elsevier.com/retrieve/pii/S0169204616302833,Y,Zurich,Switzerland,genetic,"geographic distance, resistance distance, least-cost distance",genetic differentiation,mammalia,genetic sample,"text, table, supplement",na,pos,"same study area braaker 2014, using the same resistance estimates, just comparing genetics "
220,YES,journalArticle,2014,"Braaker, S.; Moretti, M.; Boesch, R.; Ghazoul, J.; Obrist, M. K.; Bontadina, F.",Assessing habitat connectivity for ground-dwelling animals in an urban environment,Ecological Applications,,1051-0761,10.1890/13-1088.1,http://doi.wiley.com/10.1890/13-1088.1,Y,Zurich,Switzerland,structural,"average nearest neighbour distance, average proximity",community composition,arthropod,pitfall trap,"text, supplement",na,mixed,"insect communities on green roofs, variance partitioning to parse out envt, spatial, etc effects."
103,YES,journalArticle,2017,"Braaker, Sonja; Obrist, Martin Karl; Ghazoul, Jaboury; Moretti, Marco",Habitat connectivity and local conditions shape taxonomic and functional diversity of arthropods on green roofs,Journal of Animal Ecology,,"0021-8790, 1365-2656",10.1111/1365-2656.12648,https://onlinelibrary.wiley.com/doi/10.1111/1365-2656.12648,Y,Zurich,Switzerland,structural,"average distance to nearest neighbour, average proximity, edge density","species richness, functional richness",arthropod,site survey,"text, figure, supplement",na,pos,"The connectivity metrics were combined into 1 using First axis of ""PCA of three habitat connectivity"""
286,YES,journalArticle,2010,"Bräuniger, Claudia; Knapp, Sonja; Kühn, Ingolf; Klotz, Stefan",Testing taxonomic and landscape surrogates for biodiversity in an urban setting,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2010.07.001,https://linkinghub.elsevier.com/retrieve/pii/S0169204610001477,Y,Halle,Germany,structural,distance to nearest neighbour (e2e),species richness,multi-taxa,species lists,"text, table",na,mixed,"using protected areas in the city as the patches, mixed results even within taxa groups"
210,YES,journalArticle,2022,"Breed, Christina A.; Morelli, Agata; Pirk, Christian W. W.; Sole, Catherine L.; Du Toit, Marié J.; Cilliers, Sarel S.",Could Purposefully Engineered Native Grassland Gardens Enhance Urban Insect Biodiversity?,Land,,2073-445X,10.3390/land11081171,https://www.mdpi.com/2073-445X/11/8/1171,Y,Tschwane,South Africa,na,na,na,plants,site survey,na,5,na,"only 6 gardens, in a relatively small area."
74,YES,journalArticle,2015,"Brodie, Jedediah F.; Giordano, Anthony J.; Dickson, Brett; Hebblewhite, Mark; Bernard, Henry; Mohd-Azlan, Jayasilan; Anderson, Jesse; Ambu, Laurentius",Evaluating multispecies landscape connectivity in a threatened tropical mammal community: Multispecies Habitat Corridors,Conservation Biology,,8888892,10.1111/cobi.12337,https://onlinelibrary.wiley.com/doi/10.1111/cobi.12337,Y,na,Borneo,potential,"least-cost path, flow",na,multi-taxa,na,na,3,na,analysis comparing different methods of estimating connectivity of the network for conservation. Not in cities though
227,YES,journalArticle,2002,"Brown Jr., Keith S.; Freitas, André Victor L.","Butterfly Communities of Urban Forest Fragments in Campinas, São Paulo, Brazil: Structure, Instability, Environmental Correlates, and Conservation",Journal of Insect Conservation,,1366638X,10.1023/A:1024462523826,http://link.springer.com/10.1023/A:1024462523826,Y,Campinas,Brazil,structural,site-specific connectivity,"species richness, community similiarity",lepidoptera,survey,"text, table",na,pos,"connectivity metric described in Brown & Freitas 2000, kinda strange, not sure this is even 'connectivity'"
353,YES,journalArticle,2009,"Brunzel, Stefan; Fischer, S. F.; Schneider, J.; Jetzkowitz, J.; Brandl, R.",Neo- and archaeophytes respond more strongly than natives to socio-economic mobility and disturbance patterns along an urban-rural gradient,Journal of Biogeography,,"03050270, 13652699",10.1111/j.1365-2699.2008.02044.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2008.02044.x,Y,Frankfurt,Germany,na,na,na,plants,na,na,5,na,mostly looking at gardening practices
77,YES,journalArticle,2020,"Buchholz, Sascha; Gathof, Anika K.; Grossmann, Anita J.; Kowarik, Ingo; Fischer, Leonie K.","Wild bees in urban grasslands: Urbanisation, functional diversity and species traits",Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2019.103731,https://linkinghub.elsevier.com/retrieve/pii/S0169204619306693,Y,Berlin,Germany,structural,isolation index,"species richness, simpson index, functional dispersion",hymenoptera,pan trap,"text, table",na,neg,"strange score of isolation based on rook's adjacencies; e.g., Geslin et al., 2016, Martins et al., 2017"
120,YES,journalArticle,2018,"Buchholz, Sascha; Hannig, Karsten; Möller, Maria; Schirmel, Jens",Reducing management intensity and isolation as promising tools to enhance ground-dwelling arthropod diversity in urban grasslands,Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-018-0786-2,http://link.springer.com/10.1007/s11252-018-0786-2,Y,Berlin,Germany,structural,isolation index,"species richness, bray-curtis similarity index",arthropod,pitfall trap,"text, table, figure",na,mixed,"beetles and spiders, isolation metric scored by rook's adjacency of surrounding habitat "
268,YES,journalArticle,2016,"Burgin, Shelley; Franklin, Michael J. M.; Hull, Loren","Wetland Loss in the Transition to Urbanisation: a Case Study from Western Sydney, Australia",Wetlands,,"0277-5212, 1943-6246",10.1007/s13157-016-0813-0,https://link.springer.com/10.1007/s13157-016-0813-0,Y,Sydney,Australia,structural,distance to nearest neighbour,na,na,none,na,5,na,"descriptive study of land use change in connectivity because of urbanization, no biological data used at all"
291,YES,journalArticle,2015,"Calder, Jordan-Laine; Cumming, Graeme S.; Maciejewski, Kristine; Oschadleus, H. Dieter","Urban land use does not limit weaver bird movements between wetlands in Cape Town, South Africa",Biological Conservation,,63207,10.1016/j.biocon.2015.04.021,https://linkinghub.elsevier.com/retrieve/pii/S0006320715001743,Y,Cape town,South Africa,structural,proximity index,movement,aves,mist net survey,"text, table",na,pos,"wetland weaver bird, proximity estimate from Esselstyn et al. 2004. Closer = more imm/emig movement to patches"
70,YES,journalArticle,2017,"Canedoli, Claudia; Orioli, Valerio; Padoa-Schioppa, Emilio; Bani, Luciano; Dondina, Olivia",Temporal Variation of Ecological Factors Affecting Bird Species Richness in Urban and Peri-Urban Forests in a Changing Environment: A Case Study from Milan (Northern Italy),Forests,,1999-4907,10.3390/f8120507,http://www.mdpi.com/1999-4907/8/12/507,Y,Milan,Italy,structural,"distance to nearest patch >1000 ha, number of neighbour patches in buffer (1km)",species richness,aves,site survey,"text, table",na,neg,also include a number of other configurational metrics that at some point have also been used to 'estimate connectivity'. Maybe mixed results?
171,YES,journalArticle,2022,"Cardador, Laura; Tella, José L.; Louvrier, Julie; Anadón, José D.; Abellán, Pedro; Carrete, Martina",Climate matching and anthropogenic factors contribute to the colonization and extinction of local populations during avian invasions,Diversity and Distributions,,"1366-9516, 1472-4642",10.1111/ddi.13591,https://onlinelibrary.wiley.com/doi/10.1111/ddi.13591,Y,na,"Spain, Portugal",na,na,na,aves,citizen science,na,4,na,"across the entire iberian peninsula, not really about urban connectivity"
331,YES,journalArticle,2014,"Liang Guofu, ???; Xu Limin, ???; Ding Shengyan, ???","Impacts of roads on woodland landscape connectivity: a case study of Gongyi City, Henan Province",Acta Ecologica Sinica,,1000-0933,10.5846/stxb201212261870,http://www.ecologica.cn/stxb/ch/reader/view_abstract.aspx?doi=10.5846/stxb201212261870,Y,Gongyi City,China,potential,probability of connectivity index,na,na,na,na,2,na,"CHINESE, needs translation. Looks like it might just be a connectivity assessment of the already existing network with no biological validation"
184,YES,journalArticle,2014,"Carpintero, Soledad; Reyes-López, Joaquín","Effect of park age, size, shape and isolation on ant assemblages in two cities of Southern Spain: Urban park characteristics and ant fauna",Entomological Science,,13438786,10.1111/ens.12027,https://onlinelibrary.wiley.com/doi/10.1111/ens.12027,Y,Cordoba; Seville,Spain,na,na,na,arthropod,pitfall trap,na,5,na,"ant communities, urbanization gradient (distance to city centre), no other connectivity estimate"
102,YES,journalArticle,2019,"Carter, Nicholas; Cooke, Raylene; White, John G.; Whisson, Desley A.; Isaac, Bronwyn; Bradsworth, Nick",Joining the dots: How does an apex predator move through an urbanizing landscape?,Global Ecology and Conservation,,23519894,10.1016/j.gecco.2019.e00532,https://linkinghub.elsevier.com/retrieve/pii/S2351989419300113,Y,Melbourne,Australia,actual,na,na,aves,gps tracking,na,4,na,more of a rural study than urban. (see map)
341,YES,journalArticle,2020,"Carvajal, Thaddeus M.; Ogishi, Kohei; Yaegeshi, Sakiko; Hernandez, Lara Fides T.; Viacrusis, Katherine M.; Ho, Howell T.; Amalin, Divina M.; Watanabe, Kozo","Fine-scale population genetic structure of dengue mosquito vector, Aedes aegypti, in Metropolitan Manila, Philippines",PLOS Neglected Tropical Diseases,,1935-2735,10.1371/journal.pntd.0008279,https://dx.plos.org/10.1371/journal.pntd.0008279,Y,Manila,Philippines,genetic,geographic distance,genetic differentiation,arthropod,genetic sample,"text, table, supplement",na,0,"aedes aegypti, mosquito, using 11 microsatellites. Trapped adults, not reared juveniles"
111,YES,journalArticle,2013,"Caryl, Fiona M.; Thomson, Katrina; Van Der Ree, Rodney","Permeability of the urban matrix to arboreal gliding mammals: Sugar gliders in Melbourne, Australia: Permeability of Urban Matrix to Gliders",Austral Ecology,,14429985,10.1111/aec.12006,https://onlinelibrary.wiley.com/doi/10.1111/aec.12006,Y,Melbourne,Australia,actual,na,"movement rate, matrix permability",mammalia,radio-tracking,"text, table, figure",5,na,"sugar gliders in suburbs, mostly focus on urbanization, they just called one of their response variables 'permability'"
289,YES,journalArticle,2017,"Casalegno, Stefano; Anderson, Karen; Cox, Daniel T. C.; Hancock, Steven; Gaston, Kevin J.",Ecological connectivity in the three-dimensional urban green volume using waveform airborne lidar,Scientific Reports,,2045-2322,10.1038/srep45571,https://www.nature.com/articles/srep45571,Y,Milton Keynes; Luton; Bedford,UK,"structural, potential",na,na,na,none,na,8,na,"designing and comparing structural and 'functional' connectivity maps, no biological information is incorporated…"
123,YES,journalArticle,2017,"Chang, Chi-Ru; Chien, Hsiao-Fan; Shiu, Hau-Jie; Ko, Chie-Jen; Lee, Pei-Fen",Multiscale heterogeneity within and beyond Taipei city greenspaces and their relationship with avian biodiversity,Landscape and Urban Planning,,1692046,10.1016/j.landurbplan.2016.05.028,https://linkinghub.elsevier.com/retrieve/pii/S0169204616300950,Y,Taipei,Taiwan,structural,distance to nearest surrounding natural area,species richness,aves,site survey,"text, table",na,mixed,not really about connectivity or configuration even
310,YES,journalArticle,2016,"Chang, Hsiang-Yi; Lee, Ya-Fu","Effects of area size, heterogeneity, isolation, and disturbances on urban park avifauna in a highly populated tropical city",Urban Ecosystems,,"1083-8155, 1573-1642",10.1007/s11252-015-0481-5,http://link.springer.com/10.1007/s11252-015-0481-5,Y,Tainan,Taiwan,structural,"distance to nearest patch >0.3ha, distance to nearest patch >10ha, proportion vegetation in 1km buffer","species richness, occurrence",aves,site survey,text,na,mixed,"simple models, poor presentation in paper too."
201,YES,journalArticle,2015,"Chen Chundi, ???; Meurk D. Colin, Meurk D. Colin; Ignatieva E. Maria, Ignatieva E. Maria; Stewart H. Glenn, Stewart H. Glenn; Wu Shengjun, ???",Identifying and evaluating functional connectivity for building urban ecological networks,Acta Ecologica Sinica,,1000-0933,10.5846/stxb201402160263,http://www.ecologica.cn/stxb/ch/reader/view_abstract.aspx?doi=10.5846/stxb201402160263,Y,Christchurch,New Zealand,na,na,na,na,na,na,2,na,IN CHINESE
